model_name,provider,release_date,model_version,model_type,open_source,license_type,parameters_b,context_window_k,training_cutoff,multimodal,supported_languages,api_available,mmlu_score,humaneval_score,hellaswag_score,memory_footprint_gb,reasoning_model,fine_tuned_variant,base_model,parameter_tier,benchmark_completeness,benchmark_source,notes
Abel-70B-dare,Open-Orca,2024-10-14,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,86.3,81.6,89.6,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; dare method. Flagged community_finetune.
Pegasus-70B-ties,TIGER-Lab,2024-10-19,v1.0,LLM,Yes,varies,70.0,8.0,2023-12,No,"en,multilingual",No,82.8,84.3,87.8,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; ties method. Flagged community_finetune.
Pulse-70B-linear,Gryphe,2024-10-19,v1.0,LLM,Yes,varies,70.0,8.0,2023-12,No,"en,multilingual",No,83.2,86.3,88.8,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; linear method. Flagged community_finetune.
InfinityInstruct-70B-ties,bartowski,2024-10-28,v1.0,LLM,Yes,varies,70.0,8.0,2023-12,No,"en,multilingual",No,86.2,83.0,88.4,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; ties method. Flagged community_finetune.
Morpheus-70B-sft,HuggingFaceH4,2024-11-04,v1.0,LLM,Yes,varies,70.0,8.0,2023-12,No,"en,multilingual",No,86.8,82.7,89.7,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; sft method. Flagged community_finetune.
Chimera-70B-lora,unsloth,2024-11-09,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,87.7,83.4,88.5,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; lora method. Flagged community_finetune.
WizardMath-70B-dpo,teknium,2024-11-14,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,89.5,84.7,89.1,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; dpo method. Flagged community_finetune.
Nereid-70B-dare,Open-Orca,2024-11-14,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,86.2,84.3,89.9,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; dare method. Flagged community_finetune.
Sphinx-70B-linear,FPHam,2024-11-24,v1.0,LLM,Yes,varies,70.0,8.0,2023-12,No,"en,multilingual",No,85.6,83.1,89.2,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; linear method. Flagged community_finetune.
Koala-70B-lora,cognitivecomputations,2024-11-28,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,85.4,84.6,89.0,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; lora method. Flagged community_finetune.
Minotaur-70B-linear,togethercomputer,2024-12-04,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,88.5,85.0,89.3,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; linear method. Flagged community_finetune.
MetaMath-70B-linear,TIGER-Lab,2024-12-09,v1.0,LLM,Yes,varies,70.0,8.0,2023-12,No,"en,multilingual",No,83.2,84.3,88.1,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; linear method. Flagged community_finetune.
Platypus-70B-passthrough,teknium,2024-12-09,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,89.2,81.6,88.3,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; passthrough method. Flagged community_finetune.
Titan-FT-7B-sft,FPHam,2024-12-09,v1.0,LLM,Yes,varies,7.0,128.0,2023-12,No,"en,multilingual",No,75.7,89.6,,4.0,No,Yes,Qwen 2.5 7B,Small,66,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of Qwen 2.5 7B; sft method. Flagged community_finetune.
EvolInstruct-70B-linear,TIGER-Lab,2024-12-14,v1.0,LLM,Yes,varies,70.0,8.0,2023-12,No,"en,multilingual",No,82.7,83.0,87.8,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; linear method. Flagged community_finetune.
Nereid-70B-ties,cognitivecomputations,2024-12-14,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,89.4,82.8,89.5,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; ties method. Flagged community_finetune.
Nous-70B-dpo,mistralai-community,2024-12-19,v1.0,LLM,Yes,varies,70.0,8.0,2023-12,No,"en,multilingual",No,85.5,85.3,89.3,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; dpo method. Flagged community_finetune.
Nexus-70B-lora,HuggingFaceH4,2024-12-24,v1.0,LLM,Yes,varies,70.0,128.0,2023-12,No,"en,multilingual",No,87.6,82.9,89.6,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; lora method. Flagged community_finetune.
NeuralHermes-70B-sft,TheBloke,2024-12-28,v1.0,LLM,Yes,varies,70.0,8.0,2023-12,No,"en,multilingual",No,86.8,85.0,88.0,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; sft method. Flagged community_finetune.
