model_name,provider,category,release_date,release_year,arena_elo,benchmark,score
Claude Sonnet 4.5,Anthropic,frontier,2025-07-01,2025,,humaneval,97.6
Grok 4,xAI,frontier,2025-07-01,2025,1491.0,humaneval,96.4
Gemini 3 Flash,Google,frontier,2025-08-01,2025,1445.0,humaneval,92.2
Gemini 3 Pro,Google,frontier,2025-09-01,2025,1480.0,humaneval,91.7
Mercury 2,Inception Labs,frontier,2025-09-01,2025,1280.0,humaneval,93.1
Claude Opus 4.6,Anthropic,frontier,2025-10-01,2025,1503.0,humaneval,94.8
Claude Sonnet 4.6,Anthropic,frontier,2025-10-01,2025,1420.0,humaneval,95.7
GPT-5.1,OpenAI,frontier,2025-11-13,2025,1460.0,humaneval,96.3
Kimi K2.6,Moonshot AI,frontier,2025-12-01,2025,1350.0,humaneval,93.6
Claude Opus 4.7,Anthropic,frontier,2026-02-01,2026,,humaneval,95.6
GPT-5.4,OpenAI,frontier,2026-02-01,2026,1484.0,humaneval,96.8
Gemini 3.1 Pro,Google,frontier,2026-03-01,2026,1500.0,humaneval,93.9
GPT-J 6B,EleutherAI,research,2021-06-04,2021,,humaneval,11.4
Chinchilla 70B,DeepMind,research,2022-03-29,2022,,humaneval,14.8
GPT-NeoX 20B,EleutherAI,research,2022-04-14,2022,,humaneval,21.3
OPT 66B,Meta AI,research,2022-05-02,2022,,humaneval,4.8
OPT 30B,Meta AI,research,2022-05-02,2022,,humaneval,3.5
OPT 6.7B,Meta AI,research,2022-05-02,2022,,humaneval,2.0
OPT 1.3B,Meta AI,research,2022-05-02,2022,,humaneval,0.9
OPT 13B,Meta AI,research,2022-05-02,2022,,humaneval,2.4
MPT 7B,MosaicML,research,2023-05-05,2023,,humaneval,18.5
Falcon 40B,TII,research,2023-05-22,2023,,humaneval,20.3
WizardLM 13B,WizardLM,research,2023-05-26,2023,,humaneval,22.1
MPT 30B,MosaicML,research,2023-06-22,2023,,humaneval,20.7
LLaMA 2 7B Chat,Meta,research,2023-07-18,2023,,humaneval,14.0
LLaMA 2 13B,Meta,research,2023-07-18,2023,,humaneval,18.1
LLaMA 2 13B Chat,Meta,research,2023-07-18,2023,,humaneval,19.8
LLaMA 2 70B,Meta,research,2023-07-18,2023,,humaneval,29.9
LLaMA 2 70B Chat,Meta,research,2023-07-18,2023,,humaneval,31.6
LLaMA 2 7B,Meta,research,2023-07-18,2023,,humaneval,12.7
CodeLlama 34B,Meta,research,2023-08-24,2023,,humaneval,48.7
Falcon 180B,TII,research,2023-09-06,2023,,humaneval,24.0
Mistral 7B,Mistral AI,research,2023-09-27,2023,,humaneval,30.7
OpenChat 3.5,OpenChat,research,2023-10-12,2023,,humaneval,28.1
Yi 34B,01.AI,research,2023-11-05,2023,,humaneval,26.4
Zephyr 7B Beta,HuggingFace H4,research,2023-11-08,2023,,humaneval,22.5
OpenHermes 2.5,NousResearch,research,2023-11-10,2023,,humaneval,48.0
Orca 2 13B,Microsoft Research,research,2023-11-18,2023,,humaneval,28.1
Mistral 7B Instruct v0.2,Mistral AI,research,2023-12-11,2023,,humaneval,31.2
Mixtral 8x7B,Mistral AI,research,2023-12-11,2023,,humaneval,39.9
Mixtral 8x7B Instruct,Mistral AI,research,2023-12-11,2023,,humaneval,41.0
Phi-2,Microsoft,research,2023-12-12,2023,,humaneval,46.9
InternLM2 20B,Shanghai AI Lab,research,2024-01-17,2024,,humaneval,51.5
CodeLlama 70B,Meta,research,2024-01-29,2024,,humaneval,67.6
StarCoder2 15B,HuggingFace/ServiceNow,research,2024-02-28,2024,,humaneval,46.6
Grok 1,xAI,research,2024-03-17,2024,,humaneval,63.5
Mixtral 8x22B,Mistral AI,research,2024-04-10,2024,,humaneval,44.8
LLaMA 3 70B,Meta,research,2024-04-18,2024,,humaneval,81.9
LLaMA 3 70B Instruct,Meta,research,2024-04-18,2024,,humaneval,82.2
LLaMA 3 8B,Meta,research,2024-04-18,2024,,humaneval,62.5
LLaMA 3 8B Instruct,Meta,research,2024-04-18,2024,,humaneval,62.8
Phi-3 Mini 128K,Microsoft,research,2024-04-23,2024,,humaneval,57.0
DeepSeek V2,DeepSeek,research,2024-05-06,2024,,humaneval,81.2
Yi 1.5 34B,01.AI,research,2024-05-13,2024,,humaneval,43.1
Falcon 2 11B,TII,research,2024-05-14,2024,,humaneval,44.8
Phi-3 Medium 4K,Microsoft,research,2024-05-21,2024,,humaneval,70.7
Qwen 2 72B Instruct,Alibaba,research,2024-06-07,2024,,humaneval,86.3
Nemotron 4 340B,NVIDIA,research,2024-06-14,2024,,humaneval,72.9
Gemma 2 27B,Google,research,2024-06-27,2024,,humaneval,51.5
Gemma 2 9B,Google,research,2024-06-27,2024,,humaneval,40.3
Mistral Nemo,Mistral AI,research,2024-07-18,2024,,humaneval,53.9
LLaMA 3.1 405B,Meta,research,2024-07-23,2024,,humaneval,89.0
LLaMA 3.1 70B,Meta,research,2024-07-23,2024,,humaneval,80.6
LLaMA 3.1 70B Instruct,Meta,research,2024-07-23,2024,,humaneval,80.8
LLaMA 3.1 8B,Meta,research,2024-07-23,2024,,humaneval,68.1
LLaMA 3.1 8B Instruct,Meta,research,2024-07-23,2024,,humaneval,68.3
Qwen 2.5 72B,Alibaba,research,2024-09-19,2024,,humaneval,86.7
Qwen 2.5 7B,Alibaba,research,2024-09-19,2024,,humaneval,84.9
LLaMA 3.2 90B Vision,Meta,research,2024-09-25,2024,,humaneval,80.6
LLaMA 3.2 3B,Meta,research,2024-09-25,2024,,humaneval,24.7
LLaMA 3.2 11B Vision,Meta,research,2024-09-25,2024,,humaneval,64.6
LLaMA 3.2 1B,Meta,research,2024-09-25,2024,,humaneval,8.4
Qwen 2.5 Coder 32B,Alibaba,research,2024-11-12,2024,,humaneval,92.6
OLMo 2 7B,AllenAI,research,2024-11-21,2024,,humaneval,44.6
Command R7B,Cohere,research,2024-12-05,2024,,humaneval,48.7
LLaMA 3.3 70B Instruct,Meta,research,2024-12-06,2024,,humaneval,87.1
Phi-4,Microsoft,research,2024-12-12,2024,,humaneval,82.6
DeepSeek R1 Distill Llama 70B,DeepSeek,research,2025-01-20,2025,,humaneval,79.3
DeepSeek R1 Distill Qwen 14B,DeepSeek,research,2025-01-20,2025,,humaneval,69.5
DeepSeek R1 Distill Qwen 32B,DeepSeek,research,2025-01-20,2025,,humaneval,72.6
DeepSeek R1 Distill Qwen 7B,DeepSeek,research,2025-01-20,2025,,humaneval,55.7
Gemma 3 27B,Google,research,2025-03-12,2025,,humaneval,74.1
Phi-4 Reasoning,Microsoft,research,2025-04-01,2025,,humaneval,85.3
Qwen3 32B,Alibaba,research,2025-04-28,2025,,humaneval,92.7
Nous-70B-ties,meta-math,community,2023-01-04,2023,,humaneval,82.4
Medusa-70B-dpo,mistralai-community,community,2023-01-24,2023,,humaneval,83.7
Tulu-70B-franken,NousResearch,community,2023-01-28,2023,,humaneval,86.7
Airoboros-70B-dare,NousResearch,community,2023-02-04,2023,,humaneval,84.4
InfinityInstruct-70B-franken,mistralai-community,community,2023-02-04,2023,,humaneval,81.2
WizardMath-70B-ties,FPHam,community,2023-02-09,2023,,humaneval,83.9
Meridian-70B-lora,HuggingFaceH4,community,2023-03-14,2023,,humaneval,85.1
Hermes-70B-ties,mistralai-community,community,2023-03-19,2023,,humaneval,83.5
Nous-70B-slerp,meta-math,community,2023-03-24,2023,,humaneval,83.7
Axiom-70B-linear,cognitivecomputations,community,2023-05-04,2023,,humaneval,82.9
Speechless-70B-passthrough,meta-math,community,2023-05-09,2023,,humaneval,81.5
Vertex-70B-ties,unsloth,community,2023-05-14,2023,,humaneval,83.1
Capybara-70B-passthrough,unsloth,community,2023-05-19,2023,,humaneval,85.3
Guanaco-70B-ties,defog,community,2023-06-09,2023,,humaneval,84.8
SuperHOT-70B-passthrough,garage-bAInd,community,2023-06-09,2023,,humaneval,86.5
EvolInstruct-7B-dare,FPHam,community,2023-06-14,2023,,humaneval,88.6
Linhope-70B-dare,WizardLM,community,2023-07-09,2023,,humaneval,85.4
Hermes-70B-linear,NousResearch,community,2023-07-19,2023,,humaneval,82.4
Baize-70B-franken,defog,community,2023-07-24,2023,,humaneval,85.5
Meridian-70B-franken,Gryphe,community,2023-08-09,2023,,humaneval,85.7
OpenHermes-70B-ties,HuggingFaceH4,community,2023-08-09,2023,,humaneval,81.4
Synthia-70B-rlhf,unsloth,community,2023-08-09,2023,,humaneval,85.2
SciTulu-70B-dare,teknium,community,2023-08-14,2023,,humaneval,83.1
Vicuna-FT-70B-dpo,defog,community,2023-08-28,2023,,humaneval,80.4
Hermes-7B-dare,jondurbin,community,2023-09-04,2023,,humaneval,87.8
OpenOrca-70B-rlhf,allenai,community,2023-09-09,2023,,humaneval,85.7
Minotaur-70B-rlhf,HuggingFaceH4,community,2023-09-14,2023,,humaneval,84.8
GPT4All-70B-dare,TIGER-Lab,community,2023-09-19,2023,,humaneval,81.9
CodeAlpaca-70B-sft,Open-Orca,community,2023-09-24,2023,,humaneval,81.9
OpenHermes-70B-sft,garage-bAInd,community,2023-09-28,2023,,humaneval,83.8
Samantha-7B-passthrough,FPHam,community,2023-09-28,2023,,humaneval,84.6
Hydra-70B-rlhf,cognitivecomputations,community,2023-10-19,2023,,humaneval,83.2
OpenOrca-70B-passthrough,TheBloke,community,2023-10-19,2023,,humaneval,83.1
Solstice-70B-passthrough,bartowski,community,2023-10-19,2023,,humaneval,86.9
Apex-70B-franken,WizardLM,community,2023-10-24,2023,,humaneval,83.2
Lazarus-70B-ties,bartowski,community,2023-10-24,2023,,humaneval,83.7
Vertex-70B-lora,togethercomputer,community,2023-11-04,2023,,humaneval,82.6
Solstice-70B-ties,Gryphe,community,2023-11-04,2023,,humaneval,85.0
Alpagasus-7B-slerp,jondurbin,community,2023-11-14,2023,,humaneval,87.0
Abel-70B-ties,NousResearch,community,2023-12-14,2023,,humaneval,84.9
Lazarus-70B-franken,togethercomputer,community,2023-12-24,2023,,humaneval,80.3
Minotaur-70B-sft,bartowski,community,2024-01-28,2024,,humaneval,85.7
CodeAlpaca-70B-franken,TIGER-Lab,community,2024-02-04,2024,,humaneval,85.1
ReMM-70B-passthrough,mlabonne,community,2024-02-04,2024,,humaneval,81.6
Zenith-70B-slerp,allenai,community,2024-02-04,2024,,humaneval,82.5
Baize-70B-sft,allenai,community,2024-02-09,2024,,humaneval,83.4
Xwin-70B-dare,NousResearch,community,2024-03-04,2024,,humaneval,81.8
GPT4All-70B-linear,bartowski,community,2024-03-09,2024,,humaneval,82.0
OpenOrca-70B-ties,togethercomputer,community,2024-03-14,2024,,humaneval,80.4
Nexus-70B-ties,defog,community,2024-03-24,2024,,humaneval,85.1
Lazarus-70B-slerp,defog,community,2024-03-28,2024,,humaneval,81.2
Speechless-70B-sft,garage-bAInd,community,2024-03-28,2024,,humaneval,81.3
Hermes-70B-sft,jondurbin,community,2024-04-09,2024,,humaneval,83.3
Morpheus-70B-slerp,jondurbin,community,2024-04-09,2024,,humaneval,82.5
Lazarus-70B-dpo,Open-Orca,community,2024-04-14,2024,,humaneval,85.1
Vortex-70B-dare,allenai,community,2024-04-19,2024,,humaneval,85.2
SciTulu-70B-dpo,teknium,community,2024-05-04,2024,,humaneval,85.2
Catalyst-70B-linear,Gryphe,community,2024-05-14,2024,,humaneval,85.3
Notus-70B-ties,TheBloke,community,2024-05-14,2024,,humaneval,85.1
Titan-FT-70B-rlhf,garage-bAInd,community,2024-05-24,2024,,humaneval,82.8
Lazarus-70B-rlhf,meta-math,community,2024-05-28,2024,,humaneval,84.4
WizardMath-70B-linear,mistralai-community,community,2024-06-04,2024,,humaneval,82.7
EvolInstruct-70B-sft,cognitivecomputations,community,2024-06-04,2024,,humaneval,85.2
Linhope-8B-lora,mlabonne,community,2024-06-09,2024,,humaneval,73.0
Notus-70B-passthrough,jondurbin,community,2024-06-14,2024,,humaneval,79.9
GPT4All-70B-passthrough,teknium,community,2024-06-19,2024,,humaneval,84.7
Airoboros-70B-slerp,Gryphe,community,2024-06-24,2024,,humaneval,82.0
Koala-70B-rlhf,TheBloke,community,2024-06-24,2024,,humaneval,83.1
Manticore-70B-lora,WizardLM,community,2024-07-04,2024,,humaneval,82.5
Guanaco-70B-rlhf,togethercomputer,community,2024-07-14,2024,,humaneval,84.8
Nous-70B-dare,garage-bAInd,community,2024-07-28,2024,,humaneval,82.2
ReMM-7B-passthrough,Open-Orca,community,2024-08-09,2024,,humaneval,89.4
Axiom-70B-rlhf,allenai,community,2024-08-19,2024,,humaneval,82.2
Minotaur-8B-linear,mlabonne,community,2024-08-19,2024,,humaneval,68.1
LongAlpaca-70B-franken,mlabonne,community,2024-08-28,2024,,humaneval,81.5
Aurora-8B-dare,mlabonne,community,2024-09-14,2024,,humaneval,72.1
Hydra-70B-dpo,meta-math,community,2024-09-14,2024,,humaneval,81.9
Starling-70B-ties,TheBloke,community,2024-09-14,2024,,humaneval,84.0
Cascade-70B-sft,WizardLM,community,2024-09-19,2024,,humaneval,86.3
Koala-70B-slerp,unsloth,community,2024-09-28,2024,,humaneval,83.9
Nova-FT-70B-linear,WizardLM,community,2024-09-28,2024,,humaneval,86.3
Abel-70B-dare,Open-Orca,community,2024-10-14,2024,,humaneval,81.6
Pegasus-70B-ties,TIGER-Lab,community,2024-10-19,2024,,humaneval,84.3
Pulse-70B-linear,Gryphe,community,2024-10-19,2024,,humaneval,86.3
InfinityInstruct-70B-ties,bartowski,community,2024-10-28,2024,,humaneval,83.0
Morpheus-70B-sft,HuggingFaceH4,community,2024-11-04,2024,,humaneval,82.7
Chimera-70B-lora,unsloth,community,2024-11-09,2024,,humaneval,83.4
WizardMath-70B-dpo,teknium,community,2024-11-14,2024,,humaneval,84.7
Nereid-70B-dare,Open-Orca,community,2024-11-14,2024,,humaneval,84.3
Sphinx-70B-linear,FPHam,community,2024-11-24,2024,,humaneval,83.1
Koala-70B-lora,cognitivecomputations,community,2024-11-28,2024,,humaneval,84.6
Minotaur-70B-linear,togethercomputer,community,2024-12-04,2024,,humaneval,85.0
MetaMath-70B-linear,TIGER-Lab,community,2024-12-09,2024,,humaneval,84.3
Platypus-70B-passthrough,teknium,community,2024-12-09,2024,,humaneval,81.6
Titan-FT-7B-sft,FPHam,community,2024-12-09,2024,,humaneval,89.6
EvolInstruct-70B-linear,TIGER-Lab,community,2024-12-14,2024,,humaneval,83.0
Nereid-70B-ties,cognitivecomputations,community,2024-12-14,2024,,humaneval,82.8
Nous-70B-dpo,mistralai-community,community,2024-12-19,2024,,humaneval,85.3
Nexus-70B-lora,HuggingFaceH4,community,2024-12-24,2024,,humaneval,82.9
NeuralHermes-70B-sft,TheBloke,community,2024-12-28,2024,,humaneval,85.0
PaLM 540B,Google,frontier,2022-04-04,2022,,math,8.8
GPT-3.5 Turbo,OpenAI,frontier,2022-11-30,2022,1106.0,math,34.1
Claude 1,Anthropic,frontier,2023-03-14,2023,1100.0,math,34.7
GPT-4,OpenAI,frontier,2023-03-14,2023,1163.0,math,52.9
GPT-3.5 Turbo 16k,OpenAI,frontier,2023-06-13,2023,1108.0,math,34.8
GPT-4 0613,OpenAI,frontier,2023-06-13,2023,1152.0,math,53.0
Claude 1.3,Anthropic,frontier,2023-07-10,2023,1105.0,math,37.1
Claude 2,Anthropic,frontier,2023-07-11,2023,1115.0,math,44.7
GPT-4 Turbo 1106,OpenAI,frontier,2023-11-06,2023,1243.0,math,64.5
Claude 2.1,Anthropic,frontier,2023-11-21,2023,1119.0,math,43.3
Gemini 1.0 Ultra,Google,frontier,2023-12-06,2023,,math,53.4
GLM-4,Zhipu AI,frontier,2024-01-16,2024,1178.0,math,57.1
GPT-4 Turbo 0125,OpenAI,frontier,2024-01-25,2024,1248.0,math,64.5
Gemini 1.5 Pro,Google,frontier,2024-02-15,2024,1262.0,math,67.9
Mistral Large,Mistral AI,frontier,2024-02-26,2024,1157.0,math,45.3
Claude 3 Haiku,Anthropic,frontier,2024-03-04,2024,1179.0,math,38.6
Claude 3 Opus,Anthropic,frontier,2024-03-04,2024,1249.0,math,60.1
Claude 3 Sonnet,Anthropic,frontier,2024-03-04,2024,1201.0,math,40.2
Command R+,Cohere,frontier,2024-04-04,2024,1195.0,math,44.3
GPT-4o,OpenAI,frontier,2024-05-13,2024,1285.0,math,76.6
Gemini 1.5 Flash,Google,frontier,2024-05-14,2024,1234.0,math,54.9
Claude 3.5 Sonnet,Anthropic,frontier,2024-06-21,2024,1306.0,math,71.1
GPT-4o mini,OpenAI,frontier,2024-07-18,2024,1272.0,math,70.2
Mistral Large 2,Mistral AI,frontier,2024-07-24,2024,1251.0,math,71.7
GPT-4o 2024-08-06,OpenAI,frontier,2024-08-06,2024,1290.0,math,76.6
Grok 2,xAI,frontier,2024-08-13,2024,1268.0,math,76.3
o1 mini,OpenAI,frontier,2024-09-12,2024,1304.0,math,69.6
o1-preview,OpenAI,frontier,2024-09-12,2024,1312.0,math,79.8
Gemini 1.5 Flash 8B,Google,frontier,2024-10-03,2024,,math,46.9
Claude 3.5 Sonnet v2,Anthropic,frontier,2024-10-22,2024,,math,78.1
Claude 3.5 Haiku,Anthropic,frontier,2024-11-04,2024,1262.0,math,68.9
Nova Lite,Amazon,frontier,2024-12-03,2024,1150.0,math,49.9
Nova Pro,Amazon,frontier,2024-12-03,2024,1200.0,math,62.3
o1,OpenAI,frontier,2024-12-05,2024,1320.0,math,83.3
DeepSeek V3,DeepSeek,frontier,2024-12-26,2024,1370.0,math,87.1
Gemini 2.0 Flash,Google,frontier,2025-01-15,2025,1354.0,math,79.6
DeepSeek R1,DeepSeek,frontier,2025-01-20,2025,1380.0,math,97.3
Kimi K1.5,Moonshot AI,frontier,2025-01-22,2025,1320.0,math,96.0
o3 mini,OpenAI,frontier,2025-01-31,2025,1355.0,math,87.9
Gemini 2.0 Flash Lite,Google,frontier,2025-02-01,2025,,math,70.8
Grok 3,xAI,frontier,2025-02-17,2025,1402.0,math,92.8
Claude 3.7 Sonnet,Anthropic,frontier,2025-02-24,2025,1360.0,math,79.6
Gemini 2.5 Flash,Google,frontier,2025-03-25,2025,1390.0,math,89.3
Gemini 2.5 Pro,Google,frontier,2025-03-25,2025,1430.0,math,92.4
LLaMA 4 Scout,Meta,frontier,2025-04-05,2025,1340.0,math,64.7
LLaMA 4 Maverick,Meta,frontier,2025-04-05,2025,1380.0,math,73.4
o3,OpenAI,frontier,2025-04-16,2025,1390.0,math,96.5
o4 mini,OpenAI,frontier,2025-04-16,2025,1400.0,math,90.6
Qwen3 235B MoE,Alibaba,frontier,2025-04-28,2025,1390.0,math,87.6
GPT-5,OpenAI,frontier,2025-05-01,2025,1450.0,math,99.2
Mistral Large 3,Mistral AI,frontier,2025-05-01,2025,1370.0,math,77.7
Claude Haiku 4.5,Anthropic,frontier,2025-07-01,2025,,math,71.8
Claude Opus 4.5,Anthropic,frontier,2025-07-01,2025,,math,88.1
Claude Sonnet 4.5,Anthropic,frontier,2025-07-01,2025,,math,85.4
Grok 4,xAI,frontier,2025-07-01,2025,1491.0,math,95.6
Gemini 3 Flash,Google,frontier,2025-08-01,2025,1445.0,math,89.8
Gemini 3 Pro,Google,frontier,2025-09-01,2025,1480.0,math,93.2
Mercury 2,Inception Labs,frontier,2025-09-01,2025,1280.0,math,87.7
Claude Opus 4.6,Anthropic,frontier,2025-10-01,2025,1503.0,math,89.3
Claude Sonnet 4.6,Anthropic,frontier,2025-10-01,2025,1420.0,math,86.1
GPT-5.1,OpenAI,frontier,2025-11-13,2025,1460.0,math,99.6
Kimi K2.6,Moonshot AI,frontier,2025-12-01,2025,1350.0,math,91.1
Claude Opus 4.7,Anthropic,frontier,2026-02-01,2026,,math,90.2
GPT-5.4,OpenAI,frontier,2026-02-01,2026,1484.0,math,99.9
Gemini 3.1 Pro,Google,frontier,2026-03-01,2026,1500.0,math,93.4
FLAN-T5 XXL,Google,research,2022-10-20,2022,,math,4.9
FLAN-UL2,Google,research,2023-03-10,2023,,math,6.4
LLaMA 2 7B Chat,Meta,research,2023-07-18,2023,,math,4.7
LLaMA 2 13B,Meta,research,2023-07-18,2023,,math,6.6
LLaMA 2 13B Chat,Meta,research,2023-07-18,2023,,math,7.4
LLaMA 2 70B,Meta,research,2023-07-18,2023,,math,13.1
LLaMA 2 70B Chat,Meta,research,2023-07-18,2023,,math,14.0
LLaMA 2 7B,Meta,research,2023-07-18,2023,,math,3.9
Mistral 7B,Mistral AI,research,2023-09-27,2023,,math,13.2
OpenHermes 2.5,NousResearch,research,2023-11-10,2023,,math,28.0
Orca 2 13B,Microsoft Research,research,2023-11-18,2023,,math,18.3
Mistral 7B Instruct v0.2,Mistral AI,research,2023-12-11,2023,,math,14.1
Mixtral 8x7B,Mistral AI,research,2023-12-11,2023,,math,28.2
Mixtral 8x7B Instruct,Mistral AI,research,2023-12-11,2023,,math,28.7
Phi-2,Microsoft,research,2023-12-12,2023,,math,25.7
InternLM2 20B,Shanghai AI Lab,research,2024-01-17,2024,,math,54.5
Grok 1,xAI,research,2024-03-17,2024,,math,23.8
Mixtral 8x22B,Mistral AI,research,2024-04-10,2024,,math,41.6
LLaMA 3 70B,Meta,research,2024-04-18,2024,,math,50.5
LLaMA 3 70B Instruct,Meta,research,2024-04-18,2024,,math,50.7
LLaMA 3 8B,Meta,research,2024-04-18,2024,,math,29.6
LLaMA 3 8B Instruct,Meta,research,2024-04-18,2024,,math,30.3
Phi-3 Mini 128K,Microsoft,research,2024-04-23,2024,,math,37.1
DeepSeek V2,DeepSeek,research,2024-05-06,2024,,math,73.0
Yi 1.5 34B,01.AI,research,2024-05-13,2024,,math,50.4
Falcon 2 11B,TII,research,2024-05-14,2024,,math,24.1
Phi-3 Medium 4K,Microsoft,research,2024-05-21,2024,,math,52.7
Qwen 2 72B Instruct,Alibaba,research,2024-06-07,2024,,math,71.1
Nemotron 4 340B,NVIDIA,research,2024-06-14,2024,,math,41.2
Gemma 2 27B,Google,research,2024-06-27,2024,,math,46.1
Gemma 2 9B,Google,research,2024-06-27,2024,,math,36.6
Mistral Nemo,Mistral AI,research,2024-07-18,2024,,math,34.1
LLaMA 3.1 405B,Meta,research,2024-07-23,2024,,math,73.8
LLaMA 3.1 70B,Meta,research,2024-07-23,2024,,math,68.1
LLaMA 3.1 70B Instruct,Meta,research,2024-07-23,2024,,math,68.1
LLaMA 3.1 8B,Meta,research,2024-07-23,2024,,math,28.3
LLaMA 3.1 8B Instruct,Meta,research,2024-07-23,2024,,math,28.2
Qwen 2.5 72B,Alibaba,research,2024-09-19,2024,,math,75.5
Qwen 2.5 7B,Alibaba,research,2024-09-19,2024,,math,75.2
LLaMA 3.2 90B Vision,Meta,research,2024-09-25,2024,,math,65.8
LLaMA 3.2 11B Vision,Meta,research,2024-09-25,2024,,math,31.7
OLMo 2 7B,AllenAI,research,2024-11-21,2024,,math,37.0
Command R7B,Cohere,research,2024-12-05,2024,,math,37.2
LLaMA 3.3 70B Instruct,Meta,research,2024-12-06,2024,,math,69.9
Phi-4,Microsoft,research,2024-12-12,2024,,math,80.4
DeepSeek R1 Distill Llama 70B,DeepSeek,research,2025-01-20,2025,,math,94.5
DeepSeek R1 Distill Qwen 14B,DeepSeek,research,2025-01-20,2025,,math,93.9
DeepSeek R1 Distill Qwen 32B,DeepSeek,research,2025-01-20,2025,,math,94.5
DeepSeek R1 Distill Qwen 7B,DeepSeek,research,2025-01-20,2025,,math,82.7
Gemma 3 27B,Google,research,2025-03-12,2025,,math,77.6
Phi-4 Reasoning,Microsoft,research,2025-04-01,2025,,math,88.2
Qwen3 32B,Alibaba,research,2025-04-28,2025,,math,89.2
GPT-4,OpenAI,frontier,2023-03-14,2023,1163.0,gpqa,36.1
GPT-4 0613,OpenAI,frontier,2023-06-13,2023,1152.0,gpqa,35.9
Claude 2,Anthropic,frontier,2023-07-11,2023,1115.0,gpqa,35.1
GPT-4 Turbo 1106,OpenAI,frontier,2023-11-06,2023,1243.0,gpqa,50.7
Claude 2.1,Anthropic,frontier,2023-11-21,2023,1119.0,gpqa,34.2
Gemini 1.0 Ultra,Google,frontier,2023-12-06,2023,,gpqa,41.0
GPT-4 Turbo 0125,OpenAI,frontier,2024-01-25,2024,1248.0,gpqa,50.7
Gemini 1.5 Pro,Google,frontier,2024-02-15,2024,1262.0,gpqa,46.4
Claude 3 Haiku,Anthropic,frontier,2024-03-04,2024,1179.0,gpqa,33.1
Claude 3 Opus,Anthropic,frontier,2024-03-04,2024,1249.0,gpqa,50.4
Claude 3 Sonnet,Anthropic,frontier,2024-03-04,2024,1201.0,gpqa,39.8
GPT-4o,OpenAI,frontier,2024-05-13,2024,1285.0,gpqa,53.6
Gemini 1.5 Flash,Google,frontier,2024-05-14,2024,1234.0,gpqa,39.3
Claude 3.5 Sonnet,Anthropic,frontier,2024-06-21,2024,1306.0,gpqa,59.4
GPT-4o mini,OpenAI,frontier,2024-07-18,2024,1272.0,gpqa,40.2
Mistral Large 2,Mistral AI,frontier,2024-07-24,2024,1251.0,gpqa,51.9
GPT-4o 2024-08-06,OpenAI,frontier,2024-08-06,2024,1290.0,gpqa,54.0
Grok 2,xAI,frontier,2024-08-13,2024,1268.0,gpqa,56.1
o1 mini,OpenAI,frontier,2024-09-12,2024,1304.0,gpqa,59.8
o1-preview,OpenAI,frontier,2024-09-12,2024,1312.0,gpqa,73.1
Gemini 1.5 Flash 8B,Google,frontier,2024-10-03,2024,,gpqa,35.1
Claude 3.5 Sonnet v2,Anthropic,frontier,2024-10-22,2024,,gpqa,65.3
Claude 3.5 Haiku,Anthropic,frontier,2024-11-04,2024,1262.0,gpqa,40.8
Nova Pro,Amazon,frontier,2024-12-03,2024,1200.0,gpqa,47.6
o1,OpenAI,frontier,2024-12-05,2024,1320.0,gpqa,77.0
DeepSeek V3,DeepSeek,frontier,2024-12-26,2024,1370.0,gpqa,59.1
Gemini 2.0 Flash,Google,frontier,2025-01-15,2025,1354.0,gpqa,61.7
DeepSeek R1,DeepSeek,frontier,2025-01-20,2025,1380.0,gpqa,71.5
Kimi K1.5,Moonshot AI,frontier,2025-01-22,2025,1320.0,gpqa,70.3
o3 mini,OpenAI,frontier,2025-01-31,2025,1355.0,gpqa,72.9
Gemini 2.0 Flash Lite,Google,frontier,2025-02-01,2025,,gpqa,49.8
Grok 3,xAI,frontier,2025-02-17,2025,1402.0,gpqa,84.2
Claude 3.7 Sonnet,Anthropic,frontier,2025-02-24,2025,1360.0,gpqa,70.4
Gemini 2.5 Flash,Google,frontier,2025-03-25,2025,1390.0,gpqa,78.1
Gemini 2.5 Pro,Google,frontier,2025-03-25,2025,1430.0,gpqa,83.8
LLaMA 4 Scout,Meta,frontier,2025-04-05,2025,1340.0,gpqa,48.8
LLaMA 4 Maverick,Meta,frontier,2025-04-05,2025,1380.0,gpqa,56.0
o3,OpenAI,frontier,2025-04-16,2025,1390.0,gpqa,87.5
o4 mini,OpenAI,frontier,2025-04-16,2025,1400.0,gpqa,78.7
Qwen3 235B MoE,Alibaba,frontier,2025-04-28,2025,1390.0,gpqa,67.9
GPT-5,OpenAI,frontier,2025-05-01,2025,1450.0,gpqa,85.4
Mistral Large 3,Mistral AI,frontier,2025-05-01,2025,1370.0,gpqa,60.1
Claude Haiku 4.5,Anthropic,frontier,2025-07-01,2025,,gpqa,47.7
Claude Opus 4.5,Anthropic,frontier,2025-07-01,2025,,gpqa,78.0
Claude Sonnet 4.5,Anthropic,frontier,2025-07-01,2025,,gpqa,72.0
Grok 4,xAI,frontier,2025-07-01,2025,1491.0,gpqa,88.0
Gemini 3 Flash,Google,frontier,2025-08-01,2025,1445.0,gpqa,80.1
Gemini 3 Pro,Google,frontier,2025-09-01,2025,1480.0,gpqa,93.8
Mercury 2,Inception Labs,frontier,2025-09-01,2025,1280.0,gpqa,72.1
